"","Application.ID","No.of.times.90.DPD.or.worse.in.last.6.months","No.of.times.60.DPD.or.worse.in.last.6.months","No.of.times.30.DPD.or.worse.in.last.6.months","No.of.times.90.DPD.or.worse.in.last.12.months","No.of.times.60.DPD.or.worse.in.last.12.months","No.of.times.30.DPD.or.worse.in.last.12.months","Avgas.CC.Utilization.in.last.12.months","No.of.trades.opened.in.last.6.months","No.of.trades.opened.in.last.12.months","No.of.PL.trades.opened.in.last.6.months","No.of.PL.trades.opened.in.last.12.months","No.of.Inquiries.in.last.6.months..excluding.home...auto.loans.","No.of.Inquiries.in.last.12.months..excluding.home...auto.loans.","Presence.of.open.home.loan","Outstanding.Balance","Total.No.of.Trades","Presence.of.open.auto.loan","Performance.Tag"
"10328",828346773,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10329",325933773,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10330",23937840,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10331",736724161,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10332",73893982,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10333",640665371,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10334",833157330,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10335",471690279,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10336",684746449,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10337",197581400,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10338",704116203,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10339",52533597,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10340",443762714,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10341",801659119,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10342",31723032,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10343",629930118,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10344",491314458,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10345",356979680,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10346",141983591,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10347",897648447,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10348",338649966,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10349",254535392,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10350",237168671,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10351",618758262,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10352",497527802,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10353",355665511,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10354",920619575,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10355",160918292,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10356",525371160,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10357",428232669,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10358",467588193,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10359",709351696,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10360",244927986,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10361",772414815,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10362",663932777,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10363",67966508,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10364",554382693,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10365",699138207,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10366",787526651,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10367",955768566,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10368",237147008,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10369",589234238,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10370",556475069,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10371",861242765,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10372",510366886,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10373",227398140,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10374",784039532,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10375",902783184,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10376",983444457,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10377",562164102,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10378",719297445,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10379",350748686,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10380",8738594,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10381",305556,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10382",588311036,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10383",394572023,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10384",475350849,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10385",771711218,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10386",683898127,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10387",112103986,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10388",129013309,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10389",5816612,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10390",391743293,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10391",643235164,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10392",400069583,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10393",595054760,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10394",174344234,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10395",119274294,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10396",732878335,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10397",939299287,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10398",395600720,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10399",113587298,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10400",44829119,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10401",599523235,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10402",305062400,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10403",77009591,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10404",503672421,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10405",715775985,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10406",333988832,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10407",639293405,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10408",598514673,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10409",566520494,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10410",419881687,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10411",731286347,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10412",193379100,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10413",141740950,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10414",520389186,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10415",91193189,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10416",916281530,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10417",757751040,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10418",920798304,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10419",493222768,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10420",688411759,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10421",128694041,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10422",698336723,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10423",703603758,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10424",701182597,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10425",862925092,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10426",250801886,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10427",494858007,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10428",923960498,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10429",132271776,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10430",314011480,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10431",451710826,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10432",726936660,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10433",797707134,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10434",260652726,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10435",914158192,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10436",643806690,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10437",112363555,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10438",176925129,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10439",607179453,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10440",153565905,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10441",467689533,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10442",486631553,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10443",120035737,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10444",223342327,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10445",614483103,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10446",234699970,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10447",739728527,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10448",342656399,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10449",986773913,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10450",48053709,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10451",917553514,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10452",858359547,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10453",670043715,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10454",70601938,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10455",533504267,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10456",552530710,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10457",955041933,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10458",781340949,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10459",761254638,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10460",255616922,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10461",268391212,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10462",102460273,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10463",649262990,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10464",119319266,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10465",455473895,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10466",583509419,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10467",180475838,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10468",363084491,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10469",383711719,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10470",450053844,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10471",910174499,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10472",605808200,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10473",646854466,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10474",179978105,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10475",770623053,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10476",212257840,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10477",533017539,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10478",241363146,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10479",667247017,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10480",495414932,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10481",127909152,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10482",934557246,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10483",572696506,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10484",456357400,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10485",173809384,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10486",985969288,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10487",584581354,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10488",121188460,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10489",513184577,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10490",950062505,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10491",984315601,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10492",297279713,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10493",437806806,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10494",491288477,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10495",54036163,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10496",248505798,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10497",908401852,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10498",508531122,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10499",288762694,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10500",504847007,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10510",479431469,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10561",369436570,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10584",198567793,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10595",771962421,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10764",124126752,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10786",897124363,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10822",127042017,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10953",252694179,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10959",377993668,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10966",757235320,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"10967",548942415,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11000",84058197,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11068",752148797,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11139",49012122,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11197",503318401,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11217",591055764,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11233",388514432,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11301",542714178,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11344",916223895,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11393",744687272,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11448",668785489,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11462",649053029,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11486",929601043,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11631",309853573,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11641",569827778,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11693",883384468,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11708",221899432,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11728",911725818,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11733",434467018,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11756",481295026,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11769",798604299,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11775",112862514,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11867",891843630,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11874",541858227,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11891",176968017,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11945",133478859,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"11950",902334800,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12040",824545388,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12064",539264103,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12100",501181723,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12112",858644667,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12114",528218873,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12183",984868474,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12194",93578574,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12295",282012853,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12455",997877285,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12460",89717445,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12462",637426108,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12466",116857800,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12524",741632907,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12584",101349574,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12646",249696702,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12650",391046569,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12690",469364445,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12733",979685284,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12766",724168706,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12850",233632891,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"12928",646150826,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13036",736850619,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13079",652366418,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13097",571438597,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13112",549431788,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13217",323675867,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13222",446445177,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13253",320268564,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13270",870430043,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13344",291430838,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13417",5010130,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13422",299721914,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13430",45226337,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13437",243860515,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13446",27185336,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13507",45606232,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13519",620058635,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13548",696133879,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13557",987807398,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13613",540904066,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13659",427585602,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13663",517971615,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13710",241783876,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13744",785171954,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,1
"13767",608880223,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13772",547952497,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13858",393746663,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13862",18045766,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13876",621762846,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13880",733158040,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"13938",692281337,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"14114",958401941,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"14205",754347322,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"14215",661067926,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"14264",84530273,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
"14360",149631129,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,NA,0,0,0
